YEAR,WEEK,ID_MATERIAL,ID_VENDOR,ID_PLANT,MAT GROUP,CONTRACT QTY,PRICE,CD_DOWN_INTERVAL,VL_BATCH,VL_MPVS,VL_MIN_ORDER_QTY,BATCH,MPVS,FY,FY_LY,STD BATCH,FY WOW,CONTRACT WEIGHT,SUPER THEME,ABC PRESENT,SAFETY TIME PROFILE,COVERAGE PROFILE SITE,COVERAGE PROFILE NO,VS CURRENT,VS PREV,SEGMENTATION,LIFETIME,LAST WEEK SITE COMMENTS,SIP COMMENTS,SITE COMMENTS,AVG_COVERAGE_ONLY,AVG_COVERAGE_ONLY_Q2,TOTAL_DEMAND_ONLY,TOTAL_DEMAND_ONLY_Q2,AVG_DEMAND_ONLY,AVG_DEMAND_ONLY_Q2,TOTAL_PREBUILD,TOTAL_PREBUILD_Q2,AVG_PREBUILD,AVG_PREBUILD_Q2,AVG_INVENTORY_ONLY,AVG_INVENTORY_ONLY_Q2,AVG_SAFETY,AVG_SAFETY_Q2,AVG_SUPPLY,AVG_SUPPLY_Q2
2023,40,3405,3,1,3,45900,68.91,40000,7.0,5.0,5000.0,0.0,12124.0,12124.0,22224.0,12124.0,0.5455363570914327,3.785879247773012,5,2,2,1,1,0.565053486,1.071402663,1,0.0,1,1,1,0.0,,0.0,,,,0.0,,,,,,,,0.0,
2023,16,3840,2,1,1,56900,469.72,50000,7.0,5.0,5000.0,52459.0,4461.0,123978.0,123978.0,56920.0,1.0,0.999648629655657,13,6,1,14,6,,,8,0.0,1,1,1,,40.54545454545455,,0.0,,,,0.0,,,,,,,,46000.0
2021,41,1835,1,1,2,14904,1872.97,10000,7.0,6.0,5000.0,7155.0,16470.0,72279.0,66366.0,23625.0,1.0890968266883645,0.6308571428571429,8,1,1,18,29,60.305502993637575,45.43633018,5,0.0,1,1,1,15.23076923076923,41.0,-20695.0,-726.0,-1591.923076923077,-726.0,0.0,0.0,0.0,0.0,-1085.2307692307693,4311.0,0.0,0.0,20202.0,1594.0
2022,19,2596,2,1,1,100500,234.45,100000,7.0,5.0,5000.0,93900.0,68700.0,582375.0,545850.0,162600.0,1.0669139873591649,0.6180811808118081,30,2,1,5,2,73.96241169253975,57.25064451,5,2.0,1,1,1,,10.333333333333334,,-121677.0,,-13519.666666666666,,0.0,,0.0,,13859.0,,0.0,,149196.0
2022,9,1248,2,1,1,43600,179.69,40000,7.0,5.0,5000.0,41910.0,37455.0,214371.0,227631.0,79365.0,0.9417478287228014,0.5493605493605493,3,1,1,6,7,98.35429942521108,91.95247606,1,3.0,1,1,1,9.666666666666666,67.0,-32135.0,-47873.0,-5355.833333333333,-3682.538461538461,0.0,0.0,0.0,0.0,4378.833333333333,42493.230769230766,0.0,0.0,37152.0,98841.0
2022,23,1772,4,1,3,12360,467.32,5000,7.0,5.0,5000.0,9600.0,12800.0,36956.0,18478.0,22400.0,2.0,0.5517857142857143,5,1,1,1,1,48.10649682679868,2.998829759,1,3.0,1,1,1,,48.2,,-1726.0,,-345.2,,0.0,,0.0,,2809.4,,0.0,,6192.0
2021,40,2055,4,1,3,40000,60.63,40000,7.0,5.0,5000.0,0.0,8000.0,448000.0,450727.0,8000.0,0.9939497744754584,5.0,18,2,1,1,1,,0.0,1,0.0,1,1,1,91.0,6345435.0,0.0,6345435.0,0.0,6345435.0,0.0,6345435.0,0.0,6345435.0,7381.0,6345435.0,0.0,6345435.0,0.0,6345435.0
2020,49,1244,3,1,3,119000,45.9,60000,7.0,5.0,5000.0,153750.0,51250.0,999703.0,1063946.0,205000.0,0.9396181761104416,0.5804878048780487,4,2,1,13,9,74.01001441,81.57200523,1,0.0,1,1,1,68.53846153846153,95.33333333333331,-174934.0,-140820.0,-13456.46153846154,-15646.666666666666,0.0,0.0,0.0,0.0,150082.61538461538,196173.0,0.0,0.0,287890.0,123248.0
2021,32,715,1,1,1,18360,176.66,10000,7.0,5.0,5000.0,11863.0,2660.0,14523.0,14673.0,14523.0,0.989777141688816,1.2642016112373478,2,1,1,1,1,71.83736956394226,91.38555553,1,3.0,1,1,1,0.0,,0.0,,,,0.0,,,,,,,,0.0,
2022,6,2473,1,1,1,86600,262.66,75000,7.0,5.0,5000.0,82200.0,81800.0,404722.0,413185.0,164000.0,0.979517649479047,0.5280487804878049,8,1,1,6,6,41.514942528781646,79.24541453,8,1.0,1,1,1,17.666666666666668,63.38461538461539,-156714.0,-64971.0,-17412.666666666668,-4997.769230769231,0.0,0.0,0.0,0.0,34860.11111111111,47475.84615384616,0.0,0.0,131904.0,87588.0
